status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,,,,,,,,,,,,,
Satisfactory,validation-10,Unhandled type assertion failure in AutoCliOpts function,Lack of evidence or detail explanation of issue or root cause,"Valid but overinflated severity, should be QA",inflated severity,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1124-L1127,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1124-L1127,validation-10,DUPE-app-001,,,,,,,,,,,,,,,,
Satisfactory,validation-5,`PreBlocker` is set incorrectly,Inconsistencies when upgrading to new version,upgradetypes.ModuleName should be removed from SetOrderBeginBlockers,upgradetypes.ModuleName,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L695","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L695",validation-19,"DUPE-app-002,DUPE-app-003",DUPE-app-002,DUPE-app-003,,,,,,,,,,,,,,
Unsatisfactory,validation-7,"newMsgEthereumTx function does not handle the case where the chainID, gasPrice, or amount parameters are nil",Lack of impact description,There are nil checks,inflated severity,,,,,,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-4,Improper Context Handling in Staking Keeper Parameter Updates,Invalid. context.context is correct as per the 0.50 upgrades,"States that sdk.Context should be used instead of context.Context, which is wrong",,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/upgrades/v8/upgrades.go#L62-L69,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/upgrades/v8/upgrades.go#L62-L69,,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-3,Insufficient Validation of Extension Options in Ante Handler,Invalid,"Correct behaviour. The first extension must contain the url, others do not matter in this context",,,,,,,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-12,FeegrantKeeper is not checked if defined,Low quality,"Valid but QA, similar to a missing address zero check",insufficient quality,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/handler_options.go#L39-L57,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/handler_options.go#L39-L57,,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-15,Initialization and Error Handling Issues in CalleeContract Initialization.,GPT,"True, but it doesn't seem to be used; QA: https://github.com/search?q=repo%3Acode-423n4%2F2024-05-canto+callee&type=code",OOS,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/contracts/callee.go#L17-L23,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/contracts/callee.go#L17-L23,,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-11,setupLegacyKeyTables function for subsequent keyTable initialization will be skipped and not initialized without the function reverting when a keyTable has been initialized,GPT,"Logic is correct, the function will iterate each subspace to call WithKeyTable",,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1446-L1480,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1446-L1480,,,,,,,,,,,,,,,,,,
Satisfactory,findings-11,"Canto-main v8 upgrade discards the ""IBC transfers"" module parameters",Incomplete switch cases,Misses ibctransfertypes subspace. I think that also ibcexported is missing: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/ethermint-main/app/app.go#L1088-L1089,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1446-L1480,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1446-L1480,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1446-L1480,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L1446-L1480,findings-11,DUPE-app-001,,,,,,,,,,,,,,,,
Satisfactory,findings-13,`coinswap` liquidity pool susceptible to inflation attacks,Inflation attack,"Seems invalid, there are checks for min/max liquidity: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/x/coinswap/keeper/keeper.go#L161",inflation attacks in pools,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373",,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192",findings-13,"DUPE-app-002,DUPE-app-003,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-keeper-002",DUPE-app-002,DUPE-app-003,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-keeper-002,,,,,,,,,,,
